Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.pdsm.json	15255	-	0	0	1	0	0	0	9	75	0	0	0	0	0	0	0	2	0	0	192	120	0	0	1	4	0	0
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-PatientAsSubject.json	914	12	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PDSmintendedrecipient.json	1693	12	0	0	0	0	0	19	0	43	0	0	0	0	0	0	0	1	0	0	46	1287	0	0	0	1	1	0
fsh-generated/resources/SearchParameter-PDSm-List-PractitionerRoleAsSource.json	1065	11	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-PDSm-List-PatientAsSource.json	874	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-comprehensive-provide-document-bundle.json	3778	12	0	0	0	0	0	698	0	404	0	0	1	0	0	0	0	4	0	0	982	3287	0	0	0	25	0	3
fsh-generated/resources/CapabilityStatement-PDSm-ProducteurDeDocuments.json	2020	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-find-documentreferences-comprehensive-response.json	1820	12	0	0	0	0	0	141	0	127	0	0	0	0	0	0	0	1	0	0	275	714	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-pdsm-is-archived.json	1835	12	0	0	0	0	0	20	0	23	0	0	2	0	0	0	0	0	0	0	40	140	0	0	0	1	0	0
fsh-generated/resources/Bundle-a9c10f8a-882d-4000-a280-7150e0aeb478.json	851	10	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-List-authorOrg.json	648	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-period-start.json	721	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-submissionset-comprehensive.json	11534	20	1	0	0	0	0	128	1	138	0	0	0	0	0	0	0	0	0	0	315	663	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-pdsm-comprehensive-document-reference.json	26338	33	0	0	0	0	0	226	0	375	0	0	0	0	0	0	0	2	0	0	721	991	0	0	0	18	0	1
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-period-end.json	707	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-find-lists-response.json	2153	12	0	0	0	0	0	226	0	179	0	0	1	0	0	0	0	1	0	0	364	736	0	0	0	10	0	1
fsh-generated/resources/CapabilityStatement-PDSm-GestionnaireDePartageDeDocuments.json	12253	19	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	31	21	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-pdsm-folder-comprehensive.json	5437	16	0	0	0	0	0	134	0	109	0	0	0	0	0	0	0	0	0	0	189	325	0	0	0	5	0	0
fsh-generated/resources/SearchParameter-PDSm-isArchived.json	701	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-PDSm-List-PatientAsSubject.json	811	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-PractitionerRoleAsAuthor.json	1230	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-simplified-publish.json	15613	22	0	0	0	0	0	185	1	140	0	0	0	0	0	0	0	1	0	0	375	519	0	1	0	11	1	1
fsh-generated/resources/CapabilityStatement-PDSm-ConsommateurDeDocuments.json	11854	19	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	29	17	0	0	0	1	0	0
