Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.pdsm.json	14355	-	0	0	0	0	0	0	5	53	0	0	0	0	0	0	0	1	0	0	143	128	0	0	0	5	0	1
fsh-generated/resources/Bundle-a9c10f8a-882d-4000-a280-7150e0aeb478.json	851	20	0	0	0	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-PDSm-ConsommateurDeDocuments.json	10962	23	1	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	84	51	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-PDSm-GestionnaireDePartageDeDocuments.json	11361	20	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	79	41	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-PDSm-ProducteurDeDocuments.json	2020	28	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	39	17	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-period-end.json	707	21	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-DocumentReference-period-start.json	721	18	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-List-PatientAsSource.json	874	20	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-List-PatientAsSubject.json	811	19	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-PDSm-List-PractitionerRoleAsSource.json	1065	19	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-List-authorOrg.json	649	18	1	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-PDSm-isArchived.json	714	19	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-pdsm-comprehensive-document-reference.json	25463	23	0	0	0	0	0	116	0	167	0	0	1	0	0	0	0	2	0	0	835	2254	0	0	0	17	1	2
fsh-generated/resources/StructureDefinition-pdsm-comprehensive-provide-document-bundle.json	3337	23	0	0	0	0	0	218	0	99	0	0	1	0	0	0	0	2	0	0	985	2539	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-pdsm-ext-intended-recipient.json	1693	20	1	0	0	0	0	21	1	39	0	0	0	0	0	0	0	1	0	0	52	182	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-pdsm-ext-is-archived.json	1728	19	0	0	0	0	0	20	0	37	0	0	0	0	0	0	0	0	0	0	51	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-pdsm-find-documentreferences-comprehensive-response.json	1395	19	0	0	0	0	0	56	0	61	0	0	0	0	0	0	0	0	0	0	299	439	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-pdsm-find-lists-response.json	1662	20	0	0	0	0	0	63	0	58	0	0	0	0	0	0	0	1	0	0	416	426	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-pdsm-folder-comprehensive.json	5118	22	0	0	0	0	0	32	0	50	0	0	0	0	0	0	0	0	0	0	232	380	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-pdsm-simplified-publish.json	14463	22	1	0	0	0	0	51	0	59	0	0	0	0	0	0	0	1	0	0	436	538	0	1	0	8	0	1
fsh-generated/resources/StructureDefinition-pdsm-submissionset-comprehensive.json	11280	20	0	0	0	0	0	31	0	43	0	0	0	0	0	0	0	1	0	0	367	462	0	0	0	8	0	0
